"","continent","biome","repTree","name","id","institution","countryExpertise","reasonImportance","reason","crop","b_or_f"
"64","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Fifth","provides habitat","wheat","boundary"
"65","North/Central America (includes Caribbean)","Temperate Grasslands; Savannas & Shrublands","Quercus macrocarpa","William Schroeder ",6,"GreenTree Agroforestry Solutions","Canada; United States","Fifth","acts as barrier or living fence","wheat","boundary"
"66","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Faidherbia albida","Kiros Hadgu",7,"World Agroforestry (ICRAF)","Ethiopia","Fifth","acts as windbreak","wheat","boundary"
"67","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Abayneh Derero",9,"Ethiopian Environment and Forest Research Institute","Ethiopia","Fifth","improves soil","wheat","boundary"
"68","Europe","Temperate Broadleaf & Mixed Forests","Populus","Paul Burgess",12,"Cranfield University","UK","Fifth","produces something of extractive  value","wheat","boundary"
"69","Europe","Boreal Forests & Taiga","Alnus glutinosa","Michael den Herder",17,"European Forest Institute","Finland","Fifth","provides habitat","wheat","boundary"
"70","Europe","Mediterranean Forests; Woodland; & Scrub","Quercus ilex","Manuel Bertomeu",18,"University of Extremadura","Spain; Philippines","Fifth","acts as barrier or living fence","wheat","boundary"
"71","Europe","Mediterranean Forests; Woodland; & Scrub","Olive tree (Olea europea L.) ","Pierluigi Paris",24,"National Research Council (CNR) - Research Institute on Terrestrial Ecosystems (IRET) ","Italy","Fifth","improves microclimate","wheat","boundary"
"72","Europe","Mediterranean Forests; Woodland; & Scrub","Mediterranean deciduous oaks (Quercus pubescens Willd; Q. cerris L.) ","Pierluigi Paris",25,"National Research Council (CNR) - Research Inst. on Terrestrial Ecosystems (IRET)","Italy","Fifth","provides habitat","wheat","boundary"
"73","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Sixth","provides habitat","wheat","boundary"
"74","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Sixth","provides habitat","wheat","boundary"
"75","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Sixth","aesthetics","wheat","boundary"
"76","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Sixth","produces something of extractive  value","wheat","boundary"
"77","North/Central America (includes Caribbean)","Temperate Grasslands; Savannas & Shrublands","Quercus macrocarpa","William Schroeder ",6,"GreenTree Agroforestry Solutions","Canada; United States","Sixth","improves soil","wheat","boundary"
"78","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Faidherbia albida","Kiros Hadgu",7,"World Agroforestry (ICRAF)","Ethiopia","Sixth","provides habitat","wheat","boundary"
"79","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Abayneh Derero",9,"Ethiopian Environment and Forest Research Institute","Ethiopia","Sixth","provides habitat","wheat","boundary"
"80","Europe","Temperate Broadleaf & Mixed Forests","Populus","Paul Burgess",12,"Cranfield University","UK","Sixth","improves soil","wheat","boundary"
"81","Europe","Boreal Forests & Taiga","Alnus glutinosa","Michael den Herder",17,"European Forest Institute","Finland","Sixth","produces something of extractive  value","wheat","boundary"
"82","Europe","Mediterranean Forests; Woodland; & Scrub","Quercus ilex","Manuel Bertomeu",18,"University of Extremadura","Spain; Philippines","Sixth","improves microclimate","wheat","boundary"
"83","Europe","Mediterranean Forests; Woodland; & Scrub","Olive tree (Olea europea L.) ","Pierluigi Paris",24,"National Research Council (CNR) - Research Institute on Terrestrial Ecosystems (IRET) ","Italy","Sixth","improves soil","wheat","boundary"
"84","Europe","Mediterranean Forests; Woodland; & Scrub","Mediterranean deciduous oaks (Quercus pubescens Willd; Q. cerris L.) ","Pierluigi Paris",25,"National Research Council (CNR) - Research Inst. on Terrestrial Ecosystems (IRET)","Italy","Sixth","acts as windbreak","wheat","boundary"
"85","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Seventh","farmers compensated","wheat","boundary"
"86","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Seventh","acts as windbreak","wheat","boundary"
"87","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Seventh","farmers compensated","wheat","boundary"
"88","North/Central America (includes Caribbean)","Temperate Grasslands; Savannas & Shrublands","Quercus macrocarpa","William Schroeder ",6,"GreenTree Agroforestry Solutions","Canada; United States","Seventh","aesthetics","wheat","boundary"
"89","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Faidherbia albida","Kiros Hadgu",7,"World Agroforestry (ICRAF)","Ethiopia","Seventh","farmers compensated","wheat","boundary"
"90","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Abayneh Derero",9,"Ethiopian Environment and Forest Research Institute","Ethiopia","Seventh","aesthetics","wheat","boundary"
"91","Europe","Temperate Broadleaf & Mixed Forests","Populus","Paul Burgess",12,"Cranfield University","UK","Seventh","trees already present","wheat","boundary"
"92","Europe","Boreal Forests & Taiga","Alnus glutinosa","Michael den Herder",17,"European Forest Institute","Finland","Seventh","aesthetics","wheat","boundary"
"93","Europe","Mediterranean Forests; Woodland; & Scrub","Quercus ilex","Manuel Bertomeu",18,"University of Extremadura","Spain; Philippines","Seventh","provides habitat","wheat","boundary"
"94","Europe","Mediterranean Forests; Woodland; & Scrub","Olive tree (Olea europea L.) ","Pierluigi Paris",24,"National Research Council (CNR) - Research Institute on Terrestrial Ecosystems (IRET) ","Italy","Seventh","provides habitat","wheat","boundary"
"95","Europe","Mediterranean Forests; Woodland; & Scrub","Mediterranean deciduous oaks (Quercus pubescens Willd; Q. cerris L.) ","Pierluigi Paris",25,"National Research Council (CNR) - Research Inst. on Terrestrial Ecosystems (IRET)","Italy","Seventh","produces something of extractive  value","wheat","boundary"
"96","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Eighth","aesthetics","wheat","boundary"
"97","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Eighth","aesthetics","wheat","boundary"
"98","North/Central America (includes Caribbean)","Temperate Grasslands; Savannas & Shrublands","Quercus macrocarpa","William Schroeder ",6,"GreenTree Agroforestry Solutions","Canada; United States","Eighth","farmers compensated","wheat","boundary"
"99","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Faidherbia albida","Kiros Hadgu",7,"World Agroforestry (ICRAF)","Ethiopia","Eighth","aesthetics","wheat","boundary"
"100","Europe","Temperate Broadleaf & Mixed Forests","Populus","Paul Burgess",12,"Cranfield University","UK","Eighth","improves microclimate","wheat","boundary"
"101","Europe","Mediterranean Forests; Woodland; & Scrub","Quercus ilex","Manuel Bertomeu",18,"University of Extremadura","Spain; Philippines","Eighth","aesthetics","wheat","boundary"
"102","Europe","Mediterranean Forests; Woodland; & Scrub","Olive tree (Olea europea L.) ","Pierluigi Paris",24,"National Research Council (CNR) - Research Institute on Terrestrial Ecosystems (IRET) ","Italy","Eighth","aesthetics","wheat","boundary"
"103","Europe","Mediterranean Forests; Woodland; & Scrub","Mediterranean deciduous oaks (Quercus pubescens Willd; Q. cerris L.) ","Pierluigi Paris",25,"National Research Council (CNR) - Research Inst. on Terrestrial Ecosystems (IRET)","Italy","Eighth","improves soil","wheat","boundary"
"104","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Last","trees already present","wheat","boundary"
"105","North/Central America (includes Caribbean)","Temperate Grasslands; Savannas & Shrublands","Quercus macrocarpa","William Schroeder ",6,"GreenTree Agroforestry Solutions","Canada; United States","Last","trees already present","wheat","boundary"
"106","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Faidherbia albida","Kiros Hadgu",7,"World Agroforestry (ICRAF)","Ethiopia","Last","trees already present","wheat","boundary"
"107","Europe","Mediterranean Forests; Woodland; & Scrub","Olive tree (Olea europea L.) ","Pierluigi Paris",24,"National Research Council (CNR) - Research Institute on Terrestrial Ecosystems (IRET) ","Italy","Last","farmers compensated","wheat","boundary"
"108","Europe","Mediterranean Forests; Woodland; & Scrub","Mediterranean deciduous oaks (Quercus pubescens Willd; Q. cerris L.) ","Pierluigi Paris",25,"National Research Council (CNR) - Research Inst. on Terrestrial Ecosystems (IRET)","Italy","Last","farmers compensated","wheat","boundary"
"109","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Not Meaningful","improves microclimate","wheat","boundary"
"110","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Not Meaningful","aesthetics","wheat","boundary"
"111","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Not Meaningful","acts as barrier or living fence","wheat","boundary"
"112","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Not Meaningful","acts as barrier or living fence","wheat","boundary"
"113","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Not Meaningful","farmers compensated","wheat","boundary"
"114","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Not Meaningful","trees already present","wheat","boundary"
"115","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Abayneh Derero",9,"Ethiopian Environment and Forest Research Institute","Ethiopia","Not Meaningful","trees already present","wheat","boundary"
"116","Europe","Temperate Broadleaf & Mixed Forests","Populus","Paul Burgess",12,"Cranfield University","UK","Not Meaningful","farmers compensated","wheat","boundary"
"117","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Populus","Marney Isaac",13,"University of Toronto","Canada; Costa Rica; Ghana","Not Meaningful","acts as barrier or living fence","wheat","boundary"
"118","Europe","Boreal Forests & Taiga","Alnus glutinosa","Michael den Herder",17,"European Forest Institute","Finland","Not Meaningful","farmers compensated","wheat","boundary"
"119","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Not Meaningful","acts as barrier or living fence","wheat","boundary"
"120","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Not Meaningful","farmers compensated","wheat","boundary"
"121","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Not Meaningful","acts as windbreak","wheat","boundary"
"122","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Not Meaningful","produces something of extractive  value","wheat","boundary"
"123","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Not Meaningful","trees already present","wheat","boundary"
"124","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Abayneh Derero",9,"Ethiopian Environment and Forest Research Institute","Ethiopia","Not Meaningful","farmers compensated","wheat","boundary"
"125","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Populus","Marney Isaac",13,"University of Toronto","Canada; Costa Rica; Ghana","Not Meaningful","provides habitat","wheat","boundary"
"126","Europe","Boreal Forests & Taiga","Alnus glutinosa","Michael den Herder",17,"European Forest Institute","Finland","Not Meaningful","trees already present","wheat","boundary"
"127","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Not Meaningful","provides habitat","wheat","boundary"
"128","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Not Meaningful","trees already present","wheat","boundary"
"129","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Not Meaningful","produces something of extractive  value","wheat","boundary"
"130","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Not Meaningful","improves microclimate","wheat","boundary"
"131","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Populus","Marney Isaac",13,"University of Toronto","Canada; Costa Rica; Ghana","Not Meaningful","aesthetics","wheat","boundary"
"132","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Not Meaningful","farmers compensated","wheat","boundary"
"133","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Not Meaningful","aesthetics","wheat","boundary"
"134","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Not Meaningful","improves soil","wheat","boundary"
"135","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Populus","Marney Isaac",13,"University of Toronto","Canada; Costa Rica; Ghana","Not Meaningful","farmers compensated","wheat","boundary"
"136","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Not Meaningful","farmers compensated","wheat","boundary"
"137","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Not Meaningful","provides habitat","wheat","boundary"
"138","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Populus","Marney Isaac",13,"University of Toronto","Canada; Costa Rica; Ghana","Not Meaningful","trees already present","wheat","boundary"
