"","continent","biome","repTree","name","id","institution","countryExpertise","reasonImportance","reason","crop","b_or_f","policyPriority","policy"
"18","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Gliricidia sepium","Paramu Mafongoya",11,"University of KwaZulu-Natal","Kenya; Zambia; Zimbabwe; Malawi; Tanzania; Mozambique and South Africa","Top","Other","corn","boundary","Not Meaningful","provision inputs"
"19","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Gliricidia sepium","Paramu Mafongoya",11,"University of KwaZulu-Natal","Kenya; Zambia; Zimbabwe; Malawi; Tanzania; Mozambique and South Africa","Top","Other","corn","boundary","Not Meaningful","expand ag extension services"
"20","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Gliricidia sepium","Paramu Mafongoya",11,"University of KwaZulu-Natal","Kenya; Zambia; Zimbabwe; Malawi; Tanzania; Mozambique and South Africa","Top","Other","corn","boundary","Not Meaningful","expand carbon crediting/verification"
"21","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Top","improves soil","corn","boundary","Top","research"
"22","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Top","improves soil","corn","boundary","Second","develop shade-grown variatals"
"23","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Top","improves soil","corn","boundary","Third","expand ag extension services"
"24","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Top","improves soil","corn","boundary","Fourth","develop/reform policy"
"25","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Top","improves soil","corn","boundary","Fifth","expand carbon crediting/verification"
"26","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Top","improves soil","corn","boundary","Not Meaningful","provision inputs"
"27","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Top","improves soil","corn","boundary","Top","expand carbon crediting/verification"
"28","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Top","improves soil","corn","boundary","Second","expand ag extension services"
"29","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Top","improves soil","corn","boundary","Third","provision inputs"
"30","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Top","improves soil","corn","boundary","Fourth","develop/reform policy"
"31","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Top","improves soil","corn","boundary","Fifth","develop shade-grown variatals"
"32","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Top","improves soil","corn","boundary","Last","research"
"33","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Top","improves microclimate","corn","boundary","Top","research"
"34","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Top","improves microclimate","corn","boundary","Second","develop shade-grown variatals"
"35","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Top","improves microclimate","corn","boundary","Third","develop/reform policy"
"36","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Top","improves microclimate","corn","boundary","Fourth","provision inputs"
"37","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Top","improves microclimate","corn","boundary","Fifth","expand ag extension services"
"38","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Top","improves microclimate","corn","boundary","Last","expand carbon crediting/verification"
"39","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Top","acts as barrier or living fence","corn","boundary","Top","research"
"40","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Top","acts as barrier or living fence","corn","boundary","Second","develop shade-grown variatals"
"41","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Top","acts as barrier or living fence","corn","boundary","Third","develop/reform policy"
"42","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Top","acts as barrier or living fence","corn","boundary","Fourth","provision inputs"
"43","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Top","acts as barrier or living fence","corn","boundary","Fifth","expand ag extension services"
"44","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Top","acts as barrier or living fence","corn","boundary","Last","expand carbon crediting/verification"
"45","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Top","improves microclimate","corn","boundary","Top","develop/reform policy"
"46","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Top","improves microclimate","corn","boundary","Second","expand carbon crediting/verification"
"47","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Top","improves microclimate","corn","boundary","Third","expand ag extension services"
"48","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Top","improves microclimate","corn","boundary","Fourth","develop shade-grown variatals"
"49","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Top","improves microclimate","corn","boundary","Fifth","research"
"50","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Top","improves microclimate","corn","boundary","Last","provision inputs"
"51","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Top","produces something of extractive  value","corn","boundary","Top","develop/reform policy"
"52","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Top","produces something of extractive  value","corn","boundary","Second","expand ag extension services"
"53","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Top","produces something of extractive  value","corn","boundary","Third","expand carbon crediting/verification"
"54","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Top","produces something of extractive  value","corn","boundary","Fourth","research"
"55","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Top","produces something of extractive  value","corn","boundary","Fifth","develop shade-grown variatals"
"56","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Top","produces something of extractive  value","corn","boundary","Last","provision inputs"
"57","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Top","produces something of extractive  value","corn","boundary","Top","develop/reform policy"
"58","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Top","produces something of extractive  value","corn","boundary","Second","expand carbon crediting/verification"
"59","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Top","produces something of extractive  value","corn","boundary","Third","research"
"60","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Top","produces something of extractive  value","corn","boundary","Fourth","expand ag extension services"
"61","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Top","produces something of extractive  value","corn","boundary","Fifth","develop shade-grown variatals"
"62","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Top","produces something of extractive  value","corn","boundary","Last","provision inputs"
"63","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Top","produces something of extractive  value","corn","boundary","Top","provision inputs"
"64","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Top","produces something of extractive  value","corn","boundary","Second","expand ag extension services"
"65","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Top","produces something of extractive  value","corn","boundary","Third","research"
"66","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Top","produces something of extractive  value","corn","boundary","Fourth","develop/reform policy"
"67","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Top","produces something of extractive  value","corn","boundary","Fifth","expand carbon crediting/verification"
"68","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Top","produces something of extractive  value","corn","boundary","Last","develop shade-grown variatals"
"69","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Top","acts as barrier or living fence","corn","boundary","Top","expand carbon crediting/verification"
"70","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Top","acts as barrier or living fence","corn","boundary","Second","research"
"71","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Top","acts as barrier or living fence","corn","boundary","Third","develop/reform policy"
"72","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Top","acts as barrier or living fence","corn","boundary","Fourth","provision inputs"
"73","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Top","acts as barrier or living fence","corn","boundary","Fifth","expand ag extension services"
"74","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Top","acts as barrier or living fence","corn","boundary","Last","develop shade-grown variatals"
"75","Africa","Tropical & Subtropical Moist Broadleaf Forests","Grevillea Robusta","Drake N. Mubiru",30,"National Agricultural Research Organization (NARO)","Uganda","Top","produces something of extractive  value","corn","boundary","Top","research"
"76","Africa","Tropical & Subtropical Moist Broadleaf Forests","Grevillea Robusta","Drake N. Mubiru",30,"National Agricultural Research Organization (NARO)","Uganda","Top","produces something of extractive  value","corn","boundary","Second","develop shade-grown variatals"
"77","Africa","Tropical & Subtropical Moist Broadleaf Forests","Grevillea Robusta","Drake N. Mubiru",30,"National Agricultural Research Organization (NARO)","Uganda","Top","produces something of extractive  value","corn","boundary","Third","provision inputs"
"78","Africa","Tropical & Subtropical Moist Broadleaf Forests","Grevillea Robusta","Drake N. Mubiru",30,"National Agricultural Research Organization (NARO)","Uganda","Top","produces something of extractive  value","corn","boundary","Fourth","expand ag extension services"
"79","Africa","Tropical & Subtropical Moist Broadleaf Forests","Grevillea Robusta","Drake N. Mubiru",30,"National Agricultural Research Organization (NARO)","Uganda","Top","produces something of extractive  value","corn","boundary","Not Meaningful","develop/reform policy"
"80","Africa","Tropical & Subtropical Moist Broadleaf Forests","Grevillea Robusta","Drake N. Mubiru",30,"National Agricultural Research Organization (NARO)","Uganda","Top","produces something of extractive  value","corn","boundary","Not Meaningful","expand carbon crediting/verification"
"81","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Top","acts as windbreak","corn","boundary","Top","research"
"82","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Top","acts as windbreak","corn","boundary","Second","expand ag extension services"
"83","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Top","acts as windbreak","corn","boundary","Third","expand carbon crediting/verification"
"84","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Top","acts as windbreak","corn","boundary","Fourth","develop/reform policy"
"85","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Top","acts as windbreak","corn","boundary","Fifth","provision inputs"
"86","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Top","acts as windbreak","corn","boundary","Not Meaningful","develop shade-grown variatals"
"87","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Second","acts as windbreak","corn","boundary","Top","research"
"88","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Second","acts as windbreak","corn","boundary","Second","develop shade-grown variatals"
"89","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Second","acts as windbreak","corn","boundary","Third","develop/reform policy"
"90","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Second","acts as windbreak","corn","boundary","Fourth","provision inputs"
"91","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Second","acts as windbreak","corn","boundary","Fifth","expand ag extension services"
"92","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Second","acts as windbreak","corn","boundary","Last","expand carbon crediting/verification"
"93","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Second","acts as barrier or living fence","corn","boundary","Top","develop shade-grown variatals"
"94","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Second","acts as barrier or living fence","corn","boundary","Second","provision inputs"
"95","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Second","acts as barrier or living fence","corn","boundary","Third","expand ag extension services"
"96","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Second","acts as barrier or living fence","corn","boundary","Fourth","research"
"97","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Second","acts as barrier or living fence","corn","boundary","Fifth","expand carbon crediting/verification"
"98","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Second","acts as barrier or living fence","corn","boundary","Last","develop/reform policy"
"99","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Second","aesthetics","corn","boundary",NA,NA
"100","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Second","improves microclimate","corn","boundary","Top","research"
"101","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Second","improves microclimate","corn","boundary","Second","develop shade-grown variatals"
"102","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Second","improves microclimate","corn","boundary","Third","expand ag extension services"
"103","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Second","improves microclimate","corn","boundary","Fourth","develop/reform policy"
"104","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Second","improves microclimate","corn","boundary","Fifth","expand carbon crediting/verification"
"105","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Second","improves microclimate","corn","boundary","Not Meaningful","provision inputs"
"106","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Second","improves microclimate","corn","boundary","Top","expand carbon crediting/verification"
"107","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Second","improves microclimate","corn","boundary","Second","expand ag extension services"
"108","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Second","improves microclimate","corn","boundary","Third","provision inputs"
"109","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Second","improves microclimate","corn","boundary","Fourth","develop/reform policy"
"110","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Second","improves microclimate","corn","boundary","Fifth","develop shade-grown variatals"
"111","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Second","improves microclimate","corn","boundary","Last","research"
"112","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Second","improves soil","corn","boundary","Top","research"
"113","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Second","improves soil","corn","boundary","Second","develop shade-grown variatals"
"114","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Second","improves soil","corn","boundary","Third","develop/reform policy"
"115","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Second","improves soil","corn","boundary","Fourth","provision inputs"
"116","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Second","improves soil","corn","boundary","Fifth","expand ag extension services"
"117","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Second","improves soil","corn","boundary","Last","expand carbon crediting/verification"
"118","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Second","acts as windbreak","corn","boundary","Top","research"
